created_date,dominant_topic,dominant_topic_keywords,count
2021-04-12,topic2,"edwardbarber, like, love, edward, barber, day, good, get, happy, life",634
2021-04-26,topic3,"like, people, amp, see, need, please, get, know, help, really",368
2021-04-05,topic5,"free, zerowaste, part, different, cool, future, nftcollectors, nftcommunity, city, miss",88
2021-04-12,topic0,"whatshappeninginmyanmar, aprcoup, posted, photo, military, terrorists, junta, abducted, myanmar, amp",315
2021-04-10,topic1,"sun, view, collection, food, sat, women, full, field, available, interpol",66
2021-04-08,topic3,"like, people, amp, see, need, please, get, know, help, really",436
2021-04-16,topic0,"whatshappeninginmyanmar, aprcoup, posted, photo, military, terrorists, junta, abducted, myanmar, amp",421
2021-04-22,topic3,"like, people, amp, see, need, please, get, know, help, really",480
2021-04-25,topic4,"btc, cute, chef, crypto, pretty, greed, april, silver, bistro, good",88
2021-04-10,topic2,"edwardbarber, like, love, edward, barber, day, good, get, happy, life",695
2021-04-11,topic4,"btc, cute, chef, crypto, pretty, greed, april, silver, bistro, good",94
2021-04-24,topic1,"sun, view, collection, food, sat, women, full, field, available, interpol",40
2021-04-30,topic4,"btc, cute, chef, crypto, pretty, greed, april, silver, bistro, good",62
2021-04-07,topic3,"like, people, amp, see, need, please, get, know, help, really",368
2021-04-09,topic2,"edwardbarber, like, love, edward, barber, day, good, get, happy, life",711
2021-04-30,topic3,"like, people, amp, see, need, please, get, know, help, really",400
2021-04-17,topic5,"free, zerowaste, part, different, cool, future, nftcollectors, nftcommunity, city, miss",73
2021-04-20,topic0,"whatshappeninginmyanmar, aprcoup, posted, photo, military, terrorists, junta, abducted, myanmar, amp",435
2021-04-08,topic1,"sun, view, collection, food, sat, women, full, field, available, interpol",59
2021-04-22,topic1,"sun, view, collection, food, sat, women, full, field, available, interpol",49
2021-04-07,topic4,"btc, cute, chef, crypto, pretty, greed, april, silver, bistro, good",92
2021-04-15,topic3,"like, people, amp, see, need, please, get, know, help, really",386
2021-04-14,topic0,"whatshappeninginmyanmar, aprcoup, posted, photo, military, terrorists, junta, abducted, myanmar, amp",436
2021-04-06,topic4,"btc, cute, chef, crypto, pretty, greed, april, silver, bistro, good",85
2021-04-05,topic3,"like, people, amp, see, need, please, get, know, help, really",361
2021-04-16,topic3,"like, people, amp, see, need, please, get, know, help, really",399
2021-04-26,topic4,"btc, cute, chef, crypto, pretty, greed, april, silver, bistro, good",74
2021-04-01,topic4,"btc, cute, chef, crypto, pretty, greed, april, silver, bistro, good",80
2021-04-29,topic4,"btc, cute, chef, crypto, pretty, greed, april, silver, bistro, good",61
2021-04-09,topic3,"like, people, amp, see, need, please, get, know, help, really",418
2021-04-26,topic0,"whatshappeninginmyanmar, aprcoup, posted, photo, military, terrorists, junta, abducted, myanmar, amp",321
2021-04-29,topic1,"sun, view, collection, food, sat, women, full, field, available, interpol",51
2021-04-19,topic0,"whatshappeninginmyanmar, aprcoup, posted, photo, military, terrorists, junta, abducted, myanmar, amp",427
2021-04-16,topic2,"edwardbarber, like, love, edward, barber, day, good, get, happy, life",676
2021-04-24,topic4,"btc, cute, chef, crypto, pretty, greed, april, silver, bistro, good",73
2021-04-11,topic1,"sun, view, collection, food, sat, women, full, field, available, interpol",55
2021-04-02,topic5,"free, zerowaste, part, different, cool, future, nftcollectors, nftcommunity, city, miss",123
2021-04-07,topic0,"whatshappeninginmyanmar, aprcoup, posted, photo, military, terrorists, junta, abducted, myanmar, amp",394
